BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
930,4.189,7.8504,4.242,7.9117,4.2183,7.8760802331,10,,,,,,,
935,4.192,7.8503,4.248,7.9124,4.2136,7.8755002331,10,,,,,,,
940,4.188,7.85,4.257,7.9131,4.2196,7.875703869464,10,,,,,,,
945,4.196,7.8511,4.27,7.9125,4.2112,7.875031369464,10,,,,,,,
950,4.19,7.8504,4.251,7.9102,4.2197,7.875711369464,10,,,,,,,
955,4.189,7.8502,4.272,7.9113,4.2294,7.874191369464,10,,,,,,,
960,4.187,7.8506,4.221,7.9101,4.20141666667,7.873751369464,12,,,,,,,
965,4.188,7.8509,4.254,7.9128,4.22015384615,7.875778933566,13,,,,,,,
970,4.197,7.852,4.249,7.9125,4.21625,7.875846882284,4,,,,,,,
975,4.188,7.8532,4.253,7.9113,4.21118181818,7.876093310855,11,,,,,,,
980,4.188,7.8547,4.249,7.9102,4.2125,7.877186240148,12,,,,,,,
985,4.189,7.8568,4.255,7.9108,4.21563636364,7.878736240148,11,,,,,,,
990,4.199,7.857,4.251,7.9106,4.212875,7.878930937117,8,,,,,,,
995,4.189,7.8561,4.247,7.9123,4.218,7.87987677045,11,,,,,,,
1000,4.188,7.8561,4.262,7.9127,4.2045,7.87953677045,12,,,,,,,
1005,4.193,7.8568,4.26,7.9103,4.225,7.880472484736,6,,,,,,,
1010,4.19,7.8566,4.248,7.9097,4.22169230769,7.880342484736,13,,,,,,,
1015,4.199,7.8573,4.251,7.9108,4.22083333333,7.881085753967,6,,,,,,,
1020,4.209,7.857,4.237,7.9125,4.21871428571,7.882092420634,7,,,,,,,
1025,4.203,7.8551,4.242,7.9139,4.22211111111,7.882213849206,9,,,,,,,
1030,4.209,7.8563,4.255,7.9151,4.228,7.883491626984,7,,,,,,,
1035,4.191,7.8553,4.253,7.9157,4.21758333333,7.882933732247,12,,,,,,,
1040,4.19,7.8553,4.268,7.9167,4.22233333333,7.882737898914,6,,,,,,,
1045,4.189,7.8561,4.251,7.9169,4.2146,7.88381365649,10,,,,,,,
