Creating graph ...
BW;Min;Max;Avg;Len
175.0;375.0;1.721;1.872;1.81181818182;11
175.0;400.0;1.648;1.868;1.792;9
175.0;425.0;1.67;1.844;1.78381818182;11
175.0;450.0;1.646;1.88;1.77519047619;21
175.0;475.0;1.648;1.886;1.79757894737;19
175.0;500.0;1.761;1.894;1.81069565217;23
175.0;525.0;1.69;1.883;1.79885;20
175.0;550.0;1.643;1.876;1.80522222222;18
175.0;575.0;1.727;1.894;1.81929411765;17
175.0;600.0;1.635;1.89;1.80652777778;36
175.0;625.0;1.622;1.882;1.80208333333;24
175.0;650.0;1.683;1.881;1.82503333333;30
175.0;675.0;1.66;1.88;1.82158333333;12
175.0;700.0;1.74;1.878;1.83042857143;7
200.0;0.0;1.604;1.868;1.7335625;16
200.0;25.0;1.64;1.824;1.720625;8
200.0;50.0;1.682;1.875;1.80145454545;11
200.0;75.0;1.605;1.897;1.73622222222;9
200.0;100.0;1.553;1.89;1.75533333333;12
200.0;125.0;1.696;1.814;1.7525;6
200.0;150.0;1.616;1.848;1.72688888889;9
200.0;175.0;1.705;1.877;1.78663636364;11
200.0;200.0;1.589;1.87;1.75657142857;7
200.0;225.0;1.467;1.857;1.72557142857;7
200.0;250.0;1.647;1.861;1.77291666667;12
200.0;275.0;1.658;1.88;1.7868;5
200.0;300.0;1.653;1.876;1.77209090909;11
200.0;325.0;1.566;1.863;1.7575;6
200.0;350.0;1.726;1.82;1.767875;8
200.0;375.0;1.7;1.86;1.79981818182;11
200.0;400.0;1.688;1.868;1.7845;10
200.0;425.0;1.603;1.881;1.78533333333;15
200.0;450.0;1.656;1.875;1.79306666667;15
200.0;475.0;1.638;1.892;1.79645454545;22
200.0;500.0;1.685;1.885;1.80555555556;27
200.0;525.0;1.723;1.887;1.7925;8
200.0;550.0;1.509;1.883;1.79493548387;31
200.0;575.0;1.613;1.891;1.78986956522;23
200.0;600.0;1.751;1.897;1.82339285714;28
200.0;625.0;1.641;1.89;1.79942857143;28
200.0;650.0;1.769;1.889;1.82851612903;31
200.0;675.0;1.588;1.881;1.75733333333;9
200.0;700.0;1.767;1.882;1.83925;4
200.0;725.0;1.83;1.83;1.83;1
225.0;0.0;1.449;1.854;1.6752;5
225.0;25.0;1.611;1.881;1.7475;10
225.0;50.0;1.62;1.88;1.71933333333;6
225.0;75.0;1.653;1.869;1.76822222222;9
225.0;100.0;1.637;1.894;1.78942857143;7
225.0;125.0;1.67;1.827;1.75483333333;6
225.0;150.0;1.645;1.883;1.80477777778;9
225.0;175.0;1.712;1.885;1.783;7
225.0;200.0;1.634;1.883;1.7906;10
225.0;225.0;1.692;1.871;1.80766666667;6
225.0;250.0;1.65;1.88;1.77325;8
225.0;275.0;1.671;1.884;1.80077777778;9
225.0;300.0;1.558;1.883;1.75614285714;7
225.0;325.0;1.641;1.873;1.75411111111;9
225.0;350.0;1.672;1.801;1.7276;5
225.0;375.0;1.704;1.892;1.79981818182;11
225.0;400.0;1.755;1.815;1.796;5
225.0;425.0;1.585;1.889;1.78990909091;22
225.0;450.0;1.624;1.885;1.78144444444;18
225.0;475.0;1.732;1.888;1.8073125;16
225.0;500.0;1.673;1.892;1.799;21
225.0;525.0;1.608;1.882;1.79252941176;17
225.0;550.0;1.63;1.883;1.79884;25
225.0;575.0;1.774;1.89;1.82966666667;15
225.0;600.0;1.588;1.893;1.81385714286;21
225.0;625.0;1.61;1.887;1.80830769231;26
225.0;650.0;1.671;1.89;1.82312903226;31
225.0;675.0;1.73;1.864;1.81753846154;13
225.0;700.0;1.812;1.84;1.826;2
225.0;725.0;1.794;1.86;1.827;2
250.0;0.0;1.54;1.884;1.755625;16
250.0;25.0;1.635;1.837;1.75285714286;7
250.0;50.0;1.653;1.845;1.7612;5
250.0;75.0;1.646;1.882;1.77811111111;9
250.0;100.0;1.645;1.885;1.7435;10
250.0;125.0;1.646;1.818;1.754;5
250.0;150.0;1.676;1.824;1.773;6
250.0;175.0;1.65;1.87;1.78944444444;9
250.0;200.0;1.655;1.873;1.7889;10
250.0;225.0;1.674;1.845;1.76054545455;11
250.0;250.0;1.635;1.873;1.790625;16
250.0;275.0;1.704;1.848;1.7959;10
250.0;300.0;1.749;1.873;1.8117;10
250.0;325.0;1.736;1.879;1.80718181818;11
250.0;350.0;1.713;1.867;1.8006;10
250.0;375.0;1.747;1.866;1.8081;10
250.0;400.0;1.613;1.81;1.7253;10
250.0;425.0;1.701;1.883;1.78708333333;12
250.0;450.0;1.739;1.892;1.7966875;16
250.0;475.0;1.734;1.884;1.819;15
250.0;500.0;1.666;1.865;1.7945;20
250.0;525.0;1.763;1.885;1.82135;20
250.0;550.0;1.683;1.887;1.80821052632;19
250.0;575.0;1.542;1.87;1.78003448276;29
250.0;600.0;1.704;1.886;1.81245833333;24
250.0;625.0;1.588;1.881;1.77907407407;27
250.0;650.0;1.687;1.891;1.8225483871;31
250.0;675.0;1.707;1.88;1.82630769231;13
250.0;700.0;1.819;1.826;1.8225;2
275.0;0.0;1.634;1.884;1.77169230769;13
275.0;25.0;1.642;1.886;1.773;11
275.0;50.0;1.666;1.894;1.76611111111;9
275.0;75.0;1.59;1.862;1.74918181818;11
275.0;100.0;1.653;1.826;1.7422;10
275.0;125.0;1.668;1.762;1.7028;5
275.0;150.0;1.641;1.847;1.7356;5
275.0;175.0;1.666;1.883;1.77490909091;11
275.0;200.0;1.687;1.86;1.7579;10
275.0;225.0;1.693;1.88;1.80492307692;13
275.0;250.0;1.7;1.846;1.79054545455;11
275.0;275.0;1.702;1.867;1.803125;8
275.0;300.0;1.741;1.88;1.82566666667;9
275.0;325.0;1.486;1.854;1.77425;8
275.0;350.0;1.65;1.891;1.80066666667;12
275.0;375.0;1.74;1.898;1.82790909091;11
275.0;400.0;1.666;1.855;1.77842857143;7
275.0;425.0;1.674;1.887;1.8;21
275.0;450.0;1.718;1.901;1.80954545455;22
275.0;475.0;1.675;1.877;1.81985714286;14
275.0;500.0;1.649;1.866;1.80029411765;17
275.0;525.0;1.597;1.875;1.79304347826;23
275.0;550.0;1.53;1.86;1.80609090909;22
275.0;575.0;1.663;1.883;1.80152631579;19
275.0;600.0;1.654;1.883;1.80375;32
275.0;625.0;1.603;1.903;1.82368571429;35
275.0;650.0;1.707;1.893;1.83261111111;18
275.0;675.0;1.675;1.841;1.773875;8
275.0;700.0;1.585;1.872;1.7285;2
275.0;725.0;1.871;1.871;1.871;1
300.0;0.0;1.653;1.864;1.79414285714;14
300.0;25.0;1.503;1.821;1.7365;10
300.0;50.0;1.598;1.862;1.74016666667;6
300.0;75.0;1.664;1.834;1.764;5
300.0;100.0;1.667;1.884;1.77328571429;7
300.0;125.0;1.716;1.885;1.79577777778;9
300.0;150.0;1.675;1.846;1.79;10
300.0;175.0;1.67;1.897;1.795125;8
300.0;200.0;1.665;1.876;1.77316666667;12
300.0;225.0;1.622;1.876;1.77007142857;14
300.0;250.0;1.59;1.864;1.75433333333;9
300.0;275.0;1.738;1.895;1.80891666667;12
300.0;300.0;1.717;1.852;1.79666666667;12
300.0;325.0;1.564;1.892;1.802;12
300.0;350.0;1.688;1.869;1.78441176471;17
300.0;375.0;1.641;1.874;1.79028571429;14
300.0;400.0;1.721;1.886;1.81390909091;11
300.0;425.0;1.72;1.889;1.79633333333;12
300.0;450.0;1.674;1.876;1.80843478261;23
300.0;475.0;1.735;1.844;1.78764705882;17
300.0;500.0;1.695;1.875;1.80359090909;22
300.0;525.0;1.439;1.894;1.76421052632;19
300.0;550.0;1.728;1.889;1.8222;30
300.0;575.0;1.665;1.876;1.8140952381;21
300.0;600.0;1.546;1.886;1.79732352941;34
300.0;625.0;1.67;1.881;1.81622222222;27
300.0;650.0;1.713;1.89;1.82253333333;15
300.0;675.0;1.735;1.884;1.829;14
300.0;700.0;1.839;1.839;1.839;1
325.0;0.0;1.674;1.848;1.76391666667;12
325.0;25.0;1.571;1.762;1.711;10
325.0;50.0;1.717;1.879;1.80461111111;18
325.0;75.0;1.655;1.867;1.80614285714;7
325.0;100.0;1.702;1.882;1.77216666667;6
325.0;125.0;1.788;1.871;1.83183333333;6
325.0;150.0;1.606;1.889;1.76909090909;11
325.0;175.0;1.801;1.877;1.84133333333;3
325.0;200.0;1.725;1.872;1.80544444444;9
325.0;225.0;1.68;1.853;1.765;8
325.0;250.0;1.626;1.831;1.76628571429;7
325.0;275.0;1.641;1.865;1.7703;10
325.0;300.0;1.667;1.874;1.777;12
325.0;325.0;1.658;1.873;1.79466666667;15
325.0;350.0;1.683;1.874;1.7703;10
325.0;375.0;1.623;1.864;1.75988888889;9
325.0;400.0;1.645;1.887;1.78125;8
325.0;425.0;1.731;1.889;1.825125;16
325.0;450.0;1.676;1.857;1.78488235294;17
325.0;475.0;1.75;1.872;1.82;22
325.0;500.0;1.698;1.879;1.803125;16
325.0;525.0;1.739;1.887;1.82881818182;33
325.0;550.0;1.69;1.88;1.80571428571;21
325.0;575.0;1.673;1.888;1.8138;20
325.0;600.0;1.637;1.881;1.78857142857;21
325.0;625.0;1.722;1.885;1.84213636364;22
325.0;650.0;1.657;1.888;1.80825;20
325.0;675.0;1.788;1.885;1.8455;6
325.0;725.0;1.688;1.688;1.688;1
